Host,cidade,UF,SLA,Latitude,Longitude
1035466,SAO DOMINGOS DO CAPIM,PA, Demais Regioes,-1.688045,-47.766878
1047325,UNIAO,PI, Regioes Metropolitanas,-4.596097,-42.857839
1106385,APIACA,ES, Demais Regioes,-21.149524,-41.57159
1044110,RIO MARIA,PA, Demais Regioes,-7.31938,-50.049285
1095092,SAO FELIX DO XINGU,PA, Demais Regioes,-6.641491,-51.991568
1024977,TERESINA,PI, Demais Regioes,-5.06252735,-42.80045886
1094956,SANTA RITA DO ARAGUAIA,GO, Demais Regioes,-17.331357,-53.200606
1087928,ROLIM DE MOURA,RO, Demais Regioes,-11.729614,-61.778538
1022947,ITAITINGA,CE, Regioes Metropolitanas,-3.97168947,-38.51500219
1057255,OURILANDIA DO NORTE,PA, Demais Regioes,-6.754636,-51.07286
1023054,IBIA,MG, MG/PR/MT,-19.59181378,-46.49343961
1090051,ROLIM DE MOURA,RO, Regioes Metropolitanas,-11.723951,-61.774117
1023516,AUGUSTINOPOLIS,TO, Demais Regioes,-5.466619,-47.893732
1048511,CUIABA,MT, MG/PR/MT,-15.5610401,-56.01885085
90301,PRESIDENTE EPITACIO,SP, SP/RJ,-21.8070567,-52.1134134
93491,MANHUACU,MG, MG/PR/MT,-20.275789,-42.054289
1046415,JAGUAQUARA,BA, Demais Regioes,-13.527549,-39.975715
1089112,CONTAGEM,MG, MG/PR/MT,-19.9651,-44.0585
1043266,JACUPIRANGA,SP, SP/RJ,-24.65099982,-47.94529831
364622,REDENCAO,PA, Demais Regioes,-8.04116201,-50.03699482
1023254,DOM FELICIANO,RS, Demais Regioes,-30.69982158,-52.10555948
1045361,IVAI,PR, MG/PR/MT,-25.00870027,-50.85026697
1025267,CASCA,RS, Demais Regioes,-28.568618,-51.970465
26735,ITABERABA,BA, Demais Regioes,-12.51754211,-40.28566035
1051060,LUZIANIA,GO, Regioes Metropolitanas,-16.15150344,-47.95130792
1056271,PRESIDENTE VENCESLAU,SP, SP/RJ,-21.90727276,-51.8032729
1086620,PONTAL DO ARAGUAIA,MT, MG/PR/MT,-15.90580706,-52.25881987
1043924,GUAPORE,RS, Demais Regioes,-28.84776,-51.88131
1053231,PORTO NACIONAL,TO, Regioes Metropolitanas,-10.193607,-48.462869
1021394,MACEIO,AL, Regioes Metropolitanas,-9.63688188,-35.73652672
1099429,CACAPAVA,SP, SP/RJ,-23.07615,-45.71091
152030,CARNEIRINHO,MG, MG/PR/MT,-19.69761371,-50.68471487
1041178,Sorriso,MT, MG/PR/MT,-12.554616,-55.716714
1022968,PAU DOS FERROS,RN, Demais Regioes,-6.108367,-38.205667
1023008,MACEIO,AL, Regioes Metropolitanas,-9.6701247,-35.740435
1054629,OLIMPIA,SP, SP/RJ,-20.732612,-48.894239
1084388,ITAPEVI,SP, SP/RJ,-23.5450712,-46.9600491
1100032,NOVA MUTUM,MT, Demais Regioes,-13.83464681,-56.10098565
1062818,RIACHAO DAS NEVES,BA, Demais Regioes,-11.74952716,-44.90353311
1036135,Rodeio Bonito,RS, Regioes Metropolitanas,-27.47903069,-53.16879081
1035607,RONDONOPOLIS,MT, MG/PR/MT,-16.5024672,-54.6519533
1044994,CHAPADA GAUCHA,MG, MG/PR/MT,-15.294273,-45.629084
1038335,SAO JOAO DO TRIUNFO,PR, MG/PR/MT,-25.684756,-50.299049
1044624,ARACAGI,PB, Regioes Metropolitanas,-6.850474,-35.374306
1102524,UBAITABA,BA, Demais Regioes,-14.310344,-39.322422
1057360,IUNA,ES, Demais Regioes,-20.338505,-41.5408228
1017461,GARANHUNS,PE, Demais Regioes,-8.906147,-36.497997
1030587,PETROLINA,PE, Demais Regioes,-9.393978,-40.510007
1046992,SAO RAIMUNDO NONATO,PI, Demais Regioes,-9.02316465,-42.68846623
1023016,PRESIDENTE OLEGARIO,MG, MG/PR/MT,-18.41541235,-46.4178931
897957,JACUPIRANGA,SP, SP/RJ,-24.6514959,-47.94215084
1039695,VITORIA DA CONQUISTA,BA, Demais Regioes,-14.8542113,-40.8490411
1085793,FORTIM,CE, Demais Regioes,-4.412882,-37.848065
